acquisition_channel_id,forecast_month_t,weibull_survival_s_t,expected_period_margin,discount_factor,discounted_period_margin,cumulative_undiscounted_ltv,cumulative_dcf_ltv,allocated_cac,dcf_ltv_to_cac_ratio,undiscounted_payback_flag,dcf_payback_flag
meta_ads,1,0.5707,12.56,0.9906,12.44,50.56,50.44,38.0,1.33,1,1
meta_ads,2,0.3715,8.17,0.9813,8.02,58.73,58.46,38.0,1.54,1,1
meta_ads,3,0.2514,5.53,0.9721,5.38,64.26,63.83,38.0,1.68,1,1
meta_ads,4,0.1741,3.83,0.9629,3.69,68.09,67.52,38.0,1.78,1,1
meta_ads,5,0.1226,2.7,0.9539,2.57,70.79,70.1,38.0,1.84,1,1
meta_ads,6,0.0874,1.92,0.9449,1.82,72.71,71.91,38.0,1.89,1,1
meta_ads,7,0.0629,1.38,0.936,1.3,74.09,73.21,38.0,1.93,1,1
meta_ads,8,0.0457,1.01,0.9272,0.93,75.1,74.14,38.0,1.95,1,1
meta_ads,9,0.0334,0.74,0.9185,0.68,75.83,74.81,38.0,1.97,1,1
meta_ads,10,0.0246,0.54,0.9099,0.49,76.38,75.31,38.0,1.98,1,1
meta_ads,11,0.0182,0.4,0.9013,0.36,76.78,75.67,38.0,1.99,1,1
meta_ads,12,0.0135,0.3,0.8929,0.27,77.07,75.93,38.0,2.0,1,1
meta_ads,13,0.0101,0.22,0.8845,0.2,77.3,76.13,38.0,2.0,1,1
meta_ads,14,0.0076,0.17,0.8762,0.15,77.46,76.28,38.0,2.01,1,1
meta_ads,15,0.0057,0.13,0.8679,0.11,77.59,76.38,38.0,2.01,1,1
meta_ads,16,0.0043,0.09,0.8598,0.08,77.68,76.47,38.0,2.01,1,1
meta_ads,17,0.0033,0.07,0.8517,0.06,77.75,76.53,38.0,2.01,1,1
meta_ads,18,0.0025,0.05,0.8437,0.05,77.81,76.57,38.0,2.02,1,1
meta_ads,19,0.0019,0.04,0.8357,0.03,77.85,76.61,38.0,2.02,1,1
meta_ads,20,0.0014,0.03,0.8279,0.03,77.88,76.63,38.0,2.02,1,1
meta_ads,21,0.0011,0.02,0.8201,0.02,77.91,76.65,38.0,2.02,1,1
meta_ads,22,0.0008,0.02,0.8124,0.02,77.92,76.67,38.0,2.02,1,1
meta_ads,23,0.0007,0.01,0.8048,0.01,77.94,76.68,38.0,2.02,1,1
meta_ads,24,0.0005,0.01,0.7972,0.01,77.95,76.69,38.0,2.02,1,1
creator_network,0,1.0,34.0,1.0,34.0,34.0,34.0,32.0,1.06,1,1
creator_network,1,0.5143,9.26,0.9906,9.17,43.26,43.17,32.0,1.35,1,1
creator_network,2,0.3091,5.56,0.9813,5.46,48.82,48.63,32.0,1.52,1,1
creator_network,3,0.1946,3.5,0.9721,3.4,52.32,52.04,32.0,1.63,1,1
creator_network,4,0.1259,2.27,0.9629,2.18,54.59,54.22,32.0,1.69,1,1
creator_network,5,0.083,1.49,0.9539,1.43,56.08,55.64,32.0,1.74,1,1
creator_network,6,0.0556,1.0,0.9449,0.95,57.08,56.59,32.0,1.77,1,1
creator_network,7,0.0377,0.68,0.936,0.63,57.76,57.22,32.0,1.79,1,1
creator_network,8,0.0258,0.46,0.9272,0.43,58.23,57.65,32.0,1.8,1,1
creator_network,9,0.0178,0.32,0.9185,0.29,58.55,57.95,32.0,1.81,1,1
creator_network,10,0.0124,0.22,0.9099,0.2,58.77,58.15,32.0,1.82,1,1
creator_network,11,0.0086,0.16,0.9013,0.14,58.92,58.29,32.0,1.82,1,1
creator_network,12,0.0061,0.11,0.8929,0.1,59.03,58.39,32.0,1.82,1,1
creator_network,13,0.0043,0.08,0.8845,0.07,59.11,58.46,32.0,1.83,1,1
creator_network,14,0.0031,0.06,0.8762,0.05,59.17,58.5,32.0,1.83,1,1
creator_network,15,0.0022,0.04,0.8679,0.03,59.21,58.54,32.0,1.83,1,1
creator_network,16,0.0016,0.03,0.8598,0.02,59.23,58.56,32.0,1.83,1,1
creator_network,17,0.0011,0.02,0.8517,0.02,59.25,58.58,32.0,1.83,1,1
creator_network,18,0.0008,0.01,0.8437,0.01,59.27,58.59,32.0,1.83,1,1
creator_network,19,0.0006,0.01,0.8357,0.01,59.28,58.6,32.0,1.83,1,1
creator_network,20,0.0004,0.01,0.8279,0.01,59.29,58.61,32.0,1.83,1,1
creator_network,21,0.0003,0.01,0.8201,0.0,59.29,58.61,32.0,1.83,1,1
creator_network,22,0.0002,0.0,0.8124,0.0,59.3,58.61,32.0,1.83,1,1
creator_network,23,0.0002,0.0,0.8048,0.0,59.3,58.62,32.0,1.83,1,1
creator_network,24,0.0001,0.0,0.7972,0.0,59.3,58.62,32.0,1.83,1,1
