cohort_month,acquisition_channel_id,cohort_month_index,cohort_starting_customers,active_retained_customers,retention_rate,period_net_margin,cumulative_net_margin,channel_cac,cumulative_margin_ltv,net_capital_recovery_dollars,cumulative_ltv_to_cac_ratio,payback_status
2024-12-01,organic_search,6,52,1,0.0192,-27.30,3021.87,0.0,58.11,3021.87,,Organic / Pure Profit
2025-02-01,direct,0,47,47,1.0,2427.64,2427.64,0.0,51.65,2427.64,,Organic / Pure Profit
2025-02-01,direct,1,47,5,0.1064,261.08,2688.72,0.0,57.21,2688.72,,Organic / Pure Profit
2025-02-01,direct,2,47,3,0.0638,191.08,2879.80,0.0,61.27,2879.8,,Organic / Pure Profit
2025-07-01,creator_network,0,93,93,1.0,2779.99,2779.99,32.12,29.89,-207.17000000000007,0.93,Unrecovered Capital
2025-07-01,creator_network,1,93,8,0.086,296.85,3076.84,32.12,33.08,89.68000000000029,1.03,Breakeven / Recovered
2025-07-01,creator_network,2,93,5,0.0538,125.42,3202.26,32.12,34.43,215.10000000000036,1.07,Breakeven / Recovered
2025-07-01,creator_network,3,93,3,0.0323,131.10,3333.36,32.12,35.84,346.2000000000003,1.12,Breakeven / Recovered
2025-09-01,organic_search,0,78,78,1.0,3988.47,3988.47,0.0,51.13,3988.47,,Organic / Pure Profit
2025-09-01,organic_search,1,78,5,0.0641,189.16,4177.63,0.0,53.56,4177.63,,Organic / Pure Profit
2025-09-01,organic_search,2,78,5,0.0641,279.63,4457.26,0.0,57.14,4457.26,,Organic / Pure Profit
2025-09-01,organic_search,3,78,2,0.0256,54.92,4512.18,0.0,57.85,4512.18,,Organic / Pure Profit
2025-11-01,organic_search,0,74,74,1.0,3819.49,3819.49,0.0,51.61,3819.49,,Organic / Pure Profit
2025-11-01,organic_search,1,74,6,0.0811,324.12,4143.61,0.0,55.99,4143.61,,Organic / Pure Profit
2024-02-01,google_ads,0,123,123,1.0,6743.14,6743.14,42.74,54.82,1486.12,1.28,Breakeven / Recovered
2024-02-01,google_ads,1,123,8,0.065,434.09,7177.23,42.74,58.35,1920.2099999999991,1.37,Breakeven / Recovered
2024-02-01,google_ads,2,123,5,0.0407,68.04,7245.27,42.74,58.9,1988.25,1.38,Breakeven / Recovered
2024-02-01,google_ads,3,123,3,0.0244,171.84,7417.11,42.74,60.3,2160.0899999999992,1.41,Breakeven / Recovered
2024-02-01,google_ads,4,123,1,0.0081,35.51,7452.62,42.74,60.59,2195.5999999999995,1.42,Breakeven / Recovered
2024-02-01,google_ads,6,123,1,0.0081,62.78,7515.40,42.74,61.1,2258.379999999999,1.43,Breakeven / Recovered
2024-02-01,meta_ads,0,138,138,1.0,5792.51,5792.51,39.48,41.97,344.27000000000044,1.06,Breakeven / Recovered
2024-02-01,meta_ads,1,138,12,0.087,508.72,6301.23,39.48,45.66,852.9899999999998,1.16,Breakeven / Recovered
2024-02-01,meta_ads,2,138,3,0.0217,137.12,6438.35,39.48,46.65,990.1100000000006,1.18,Breakeven / Recovered
2024-02-01,meta_ads,3,138,3,0.0217,121.46,6559.81,39.48,47.53,1111.5700000000006,1.2,Breakeven / Recovered
2024-02-01,meta_ads,4,138,2,0.0145,93.79,6653.60,39.48,48.21,1205.3600000000006,1.22,Breakeven / Recovered
2024-02-01,meta_ads,6,138,1,0.0072,54.69,6708.29,39.48,48.61,1260.0500000000002,1.23,Breakeven / Recovered
2024-06-01,direct,0,33,33,1.0,1867.15,1867.15,0.0,56.58,1867.15,,Organic / Pure Profit
2024-06-01,direct,1,33,2,0.0606,67.16,1934.31,0.0,58.62,1934.31,,Organic / Pure Profit
2024-06-01,direct,2,33,2,0.0606,85.30,2019.61,0.0,61.2,2019.61,,Organic / Pure Profit
2024-06-01,direct,5,33,1,0.0303,125.09,2144.70,0.0,64.99,2144.7,,Organic / Pure Profit
2025-03-01,creator_network,0,84,84,1.0,2434.76,2434.76,30.13,28.99,-96.15999999999985,0.96,Unrecovered Capital
2025-03-01,creator_network,1,84,5,0.0595,216.97,2651.73,30.13,31.57,120.80999999999995,1.05,Breakeven / Recovered
2025-03-01,creator_network,2,84,8,0.0952,306.94,2958.67,30.13,35.22,427.75,1.17,Breakeven / Recovered
2025-03-01,creator_network,3,84,4,0.0476,189.79,3148.46,30.13,37.48,617.54,1.24,Breakeven / Recovered
2025-03-01,creator_network,5,84,1,0.0119,-21.77,3126.69,30.13,37.22,595.77,1.24,Breakeven / Recovered
2025-04-01,direct,0,55,55,1.0,2939.60,2939.60,0.0,53.45,2939.6,,Organic / Pure Profit
2025-04-01,direct,1,55,5,0.0909,326.52,3266.12,0.0,59.38,3266.12,,Organic / Pure Profit
2025-04-01,direct,2,55,2,0.0364,35.19,3301.31,0.0,60.02,3301.31,,Organic / Pure Profit
2025-04-01,direct,3,55,2,0.0364,97.10,3398.41,0.0,61.79,3398.41,,Organic / Pure Profit
2025-04-01,direct,6,55,1,0.0182,64.31,3462.72,0.0,62.96,3462.72,,Organic / Pure Profit
2025-06-01,creator_network,0,77,77,1.0,2405.23,2405.23,34.2,31.24,-228.17000000000007,0.91,Unrecovered Capital
2025-06-01,creator_network,1,77,6,0.0779,199.81,2605.04,34.2,33.83,-28.360000000000127,0.99,Unrecovered Capital
2025-06-01,creator_network,3,77,5,0.0649,104.62,2709.66,34.2,35.19,76.25999999999976,1.03,Breakeven / Recovered
2025-06-01,creator_network,4,77,1,0.013,45.40,2755.06,34.2,35.78,121.65999999999985,1.05,Breakeven / Recovered
2025-06-01,creator_network,5,77,1,0.013,12.46,2767.52,34.2,35.94,134.1199999999999,1.05,Breakeven / Recovered
2024-05-01,google_ads,0,124,124,1.0,7099.72,7099.72,43.4,57.26,1718.12,1.32,Breakeven / Recovered
2024-05-01,google_ads,1,124,8,0.0645,512.87,7612.59,43.4,61.39,2230.99,1.41,Breakeven / Recovered
2024-05-01,google_ads,2,124,2,0.0161,145.54,7758.13,43.4,62.57,2376.5299999999997,1.44,Breakeven / Recovered
2024-05-01,google_ads,3,124,2,0.0161,100.85,7858.98,43.4,63.38,2477.379999999999,1.46,Breakeven / Recovered
2024-05-01,google_ads,4,124,1,0.0081,65.26,7924.24,43.4,63.91,2542.6399999999994,1.47,Breakeven / Recovered
2024-05-01,google_ads,5,124,1,0.0081,45.31,7969.55,43.4,64.27,2587.95,1.48,Breakeven / Recovered
2024-05-01,meta_ads,0,160,160,1.0,7072.73,7072.73,39.55,44.2,744.7299999999996,1.12,Breakeven / Recovered
2024-05-01,meta_ads,1,160,15,0.0938,580.26,7652.99,39.55,47.83,1324.9899999999998,1.21,Breakeven / Recovered
2024-05-01,meta_ads,2,160,4,0.025,219.50,7872.49,39.55,49.2,1544.4899999999998,1.24,Breakeven / Recovered
2024-05-01,meta_ads,3,160,3,0.0188,271.44,8143.93,39.55,50.9,1815.9300000000003,1.29,Breakeven / Recovered
2024-05-01,meta_ads,4,160,2,0.0125,-7.03,8136.90,39.55,50.86,1808.8999999999996,1.29,Breakeven / Recovered
2024-05-01,meta_ads,5,160,2,0.0125,35.11,8172.01,39.55,51.08,1844.0100000000002,1.29,Breakeven / Recovered
2024-09-01,google_ads,0,127,127,1.0,7096.47,7096.47,49.99,55.88,747.7400000000007,1.12,Breakeven / Recovered
2024-09-01,google_ads,1,127,13,0.1024,811.73,7908.20,49.99,62.27,1559.4700000000003,1.25,Breakeven / Recovered
2024-09-01,google_ads,2,127,6,0.0472,352.94,8261.14,49.99,65.05,1912.4099999999999,1.3,Breakeven / Recovered
2024-09-01,google_ads,3,127,3,0.0236,206.82,8467.96,49.99,66.68,2119.2299999999996,1.33,Breakeven / Recovered
2024-09-01,google_ads,4,127,1,0.0079,75.59,8543.55,49.99,67.27,2194.8199999999997,1.35,Breakeven / Recovered
2024-09-01,google_ads,5,127,1,0.0079,76.59,8620.14,49.99,67.88,2271.41,1.36,Breakeven / Recovered
2024-09-01,meta_ads,0,193,193,1.0,7958.64,7958.64,38.28,41.24,570.6000000000004,1.08,Breakeven / Recovered
2024-09-01,meta_ads,1,193,14,0.0725,577.86,8536.50,38.28,44.23,1148.46,1.16,Breakeven / Recovered
2024-09-01,meta_ads,2,193,7,0.0363,214.30,8750.80,38.28,45.34,1362.7599999999993,1.18,Breakeven / Recovered
2024-09-01,meta_ads,3,193,4,0.0207,220.99,8971.79,38.28,46.49,1583.750000000001,1.21,Breakeven / Recovered
2024-09-01,meta_ads,4,193,3,0.0155,28.89,9000.68,38.28,46.64,1612.6400000000003,1.22,Breakeven / Recovered
2024-09-01,meta_ads,5,193,3,0.0155,199.31,9199.99,38.28,47.67,1811.9499999999998,1.25,Breakeven / Recovered
2024-09-01,meta_ads,7,193,1,0.0052,60.37,9260.36,38.28,47.98,1872.3200000000006,1.25,Breakeven / Recovered
2025-05-01,organic_search,0,77,77,1.0,4158.44,4158.44,0.0,54.01,4158.44,,Organic / Pure Profit
2025-05-01,organic_search,1,77,10,0.1299,609.50,4767.94,0.0,61.92,4767.94,,Organic / Pure Profit
2025-05-01,organic_search,2,77,4,0.0519,261.49,5029.43,0.0,65.32,5029.43,,Organic / Pure Profit
2025-05-01,organic_search,3,77,1,0.013,82.33,5111.76,0.0,66.39,5111.76,,Organic / Pure Profit
2025-05-01,organic_search,4,77,1,0.013,47.95,5159.71,0.0,67.01,5159.71,,Organic / Pure Profit
2025-07-01,google_ads,0,153,153,1.0,8415.60,8415.60,46.89,55.0,1241.4300000000003,1.17,Breakeven / Recovered
2025-07-01,google_ads,1,153,15,0.098,642.07,9057.67,46.89,59.2,1883.5,1.26,Breakeven / Recovered
2025-07-01,google_ads,2,153,4,0.0261,245.25,9302.92,46.89,60.8,2128.75,1.3,Breakeven / Recovered
2025-07-01,google_ads,3,153,3,0.0196,112.12,9415.04,46.89,61.54,2240.870000000001,1.31,Breakeven / Recovered
2025-07-01,google_ads,4,153,1,0.0065,66.21,9481.25,46.89,61.97,2307.08,1.32,Breakeven / Recovered
2025-07-01,meta_ads,0,226,226,1.0,9073.07,9073.07,37.42,40.15,616.1499999999996,1.07,Breakeven / Recovered
2025-07-01,meta_ads,1,226,22,0.0973,939.25,10012.32,37.42,44.3,1555.3999999999996,1.18,Breakeven / Recovered
2025-07-01,meta_ads,2,226,16,0.0708,495.88,10508.20,37.42,46.5,2051.2800000000007,1.24,Breakeven / Recovered
2025-07-01,meta_ads,3,226,10,0.0442,409.52,10917.72,37.42,48.31,2460.7999999999993,1.29,Breakeven / Recovered
2025-07-01,meta_ads,4,226,3,0.0133,44.34,10962.06,37.42,48.5,2505.1399999999994,1.3,Breakeven / Recovered
2025-07-01,meta_ads,5,226,2,0.0088,78.93,11040.99,37.42,48.85,2584.0699999999997,1.31,Breakeven / Recovered
2025-10-01,direct,0,55,55,1.0,3247.21,3247.21,0.0,59.04,3247.21,,Organic / Pure Profit
2025-10-01,direct,1,55,3,0.0545,216.35,3463.56,0.0,62.97,3463.56,,Organic / Pure Profit
2025-10-01,direct,2,55,2,0.0364,152.14,3615.70,0.0,65.74,3615.7,,Organic / Pure Profit
2024-01-01,organic_search,0,48,48,1.0,2623.64,2623.64,0.0,54.66,2623.64,,Organic / Pure Profit
2024-01-01,organic_search,1,48,5,0.1042,246.07,2869.71,0.0,59.79,2869.71,,Organic / Pure Profit
2024-01-01,organic_search,2,48,3,0.0625,56.16,2925.87,0.0,60.96,2925.87,,Organic / Pure Profit
2024-02-01,direct,0,26,26,1.0,1549.67,1549.67,0.0,59.6,1549.67,,Organic / Pure Profit
2024-02-01,direct,1,26,1,0.0385,75.67,1625.34,0.0,62.51,1625.34,,Organic / Pure Profit
2024-02-01,direct,2,26,1,0.0385,100.66,1726.00,0.0,66.38,1726.0,,Organic / Pure Profit
2024-02-01,direct,4,26,1,0.0385,67.10,1793.10,0.0,68.97,1793.1,,Organic / Pure Profit
2024-02-01,direct,7,26,1,0.0385,75.72,1868.82,0.0,71.88,1868.82,,Organic / Pure Profit
2024-04-01,creator_network,0,65,65,1.0,2370.26,2370.26,34.86,36.47,104.36000000000013,1.05,Breakeven / Recovered
2024-04-01,creator_network,1,65,4,0.0615,117.42,2487.68,34.86,38.27,221.77999999999975,1.1,Breakeven / Recovered
2024-04-01,creator_network,2,65,3,0.0462,180.59,2668.27,34.86,41.05,402.3699999999999,1.18,Breakeven / Recovered
2024-04-01,creator_network,3,65,1,0.0154,35.20,2703.47,34.86,41.59,437.5699999999997,1.19,Breakeven / Recovered
2024-06-01,google_ads,0,114,114,1.0,6749.33,6749.33,44.07,59.2,1725.3500000000004,1.34,Breakeven / Recovered
2024-06-01,google_ads,1,114,8,0.0702,482.61,7231.94,44.07,63.44,2207.96,1.44,Breakeven / Recovered
2024-06-01,google_ads,2,114,1,0.0088,90.32,7322.26,44.07,64.23,2298.2800000000007,1.46,Breakeven / Recovered
2024-06-01,google_ads,3,114,4,0.0351,206.17,7528.43,44.07,66.04,2504.4500000000007,1.5,Breakeven / Recovered
2024-06-01,google_ads,5,114,1,0.0088,47.00,7575.43,44.07,66.45,2551.4500000000007,1.51,Breakeven / Recovered
2024-06-01,meta_ads,0,155,155,1.0,5889.74,5889.74,38.51,38.0,-79.3100000000004,0.99,Unrecovered Capital
2024-06-01,meta_ads,1,155,14,0.0903,625.74,6515.48,38.51,42.04,546.4299999999994,1.09,Breakeven / Recovered
2024-06-01,meta_ads,2,155,6,0.0387,271.13,6786.61,38.51,43.78,817.5599999999995,1.14,Breakeven / Recovered
2024-06-01,meta_ads,3,155,2,0.0129,104.52,6891.13,38.51,44.46,922.0799999999999,1.15,Breakeven / Recovered
2024-06-01,meta_ads,4,155,2,0.0129,90.68,6981.81,38.51,45.04,1012.7600000000002,1.17,Breakeven / Recovered
2024-06-01,meta_ads,5,155,2,0.0129,102.19,7084.00,38.51,45.7,1114.9499999999998,1.19,Breakeven / Recovered
2024-06-01,meta_ads,7,155,1,0.0065,-31.10,7052.90,38.51,45.5,1083.8499999999995,1.18,Breakeven / Recovered
2024-11-01,creator_network,0,66,66,1.0,2336.31,2336.31,31.93,35.4,228.92999999999984,1.11,Breakeven / Recovered
2024-11-01,creator_network,1,66,2,0.0303,91.21,2427.52,31.93,36.78,320.1399999999999,1.15,Breakeven / Recovered
2024-11-01,creator_network,2,66,7,0.1061,203.34,2630.86,31.93,39.86,523.48,1.25,Breakeven / Recovered
2024-11-01,creator_network,3,66,3,0.0455,123.36,2754.22,31.93,41.73,646.8399999999997,1.31,Breakeven / Recovered
2024-11-01,creator_network,4,66,1,0.0152,39.02,2793.24,31.93,42.32,685.8599999999997,1.33,Breakeven / Recovered
2024-11-01,creator_network,5,66,1,0.0152,-22.55,2770.69,31.93,41.98,663.31,1.31,Breakeven / Recovered
2025-04-01,google_ads,0,159,159,1.0,8516.01,8516.01,44.44,53.56,1450.0500000000002,1.21,Breakeven / Recovered
2025-04-01,google_ads,1,159,10,0.0629,765.26,9281.27,44.44,58.37,2215.3100000000004,1.31,Breakeven / Recovered
2025-04-01,google_ads,2,159,12,0.0755,690.15,9971.42,44.44,62.71,2905.46,1.41,Breakeven / Recovered
2025-04-01,google_ads,3,159,2,0.0126,148.14,10119.56,44.44,63.65,3053.5999999999995,1.43,Breakeven / Recovered
2025-04-01,google_ads,4,159,1,0.0063,63.72,10183.28,44.44,64.05,3117.3200000000006,1.44,Breakeven / Recovered
2025-04-01,meta_ads,0,201,201,1.0,8382.47,8382.47,36.81,41.7,983.659999999999,1.13,Breakeven / Recovered
2025-04-01,meta_ads,1,201,15,0.0746,675.28,9057.75,36.81,45.06,1658.9399999999996,1.22,Breakeven / Recovered
2025-04-01,meta_ads,2,201,13,0.0647,549.66,9607.41,36.81,47.8,2208.5999999999995,1.3,Breakeven / Recovered
2025-04-01,meta_ads,3,201,5,0.0249,310.53,9917.94,36.81,49.34,2519.13,1.34,Breakeven / Recovered
2025-04-01,meta_ads,4,201,1,0.005,66.43,9984.37,36.81,49.67,2585.5600000000004,1.35,Breakeven / Recovered
2025-04-01,meta_ads,5,201,1,0.005,68.22,10052.59,36.81,50.01,2653.7799999999997,1.36,Breakeven / Recovered
2025-04-01,meta_ads,6,201,1,0.005,61.66,10114.25,36.81,50.32,2715.4399999999996,1.37,Breakeven / Recovered
2025-04-01,meta_ads,7,201,1,0.005,44.32,10158.57,36.81,50.54,2759.7599999999993,1.37,Breakeven / Recovered
2024-01-01,direct,0,25,25,1.0,1452.07,1452.07,0.0,58.08,1452.07,,Organic / Pure Profit
2024-01-01,direct,1,25,4,0.16,133.29,1585.36,0.0,63.41,1585.36,,Organic / Pure Profit
2024-01-01,direct,3,25,1,0.04,57.33,1642.69,0.0,65.71,1642.69,,Organic / Pure Profit
2024-02-01,organic_search,0,44,44,1.0,2230.76,2230.76,0.0,50.7,2230.76,,Organic / Pure Profit
2024-02-01,organic_search,1,44,6,0.1364,330.39,2561.15,0.0,58.21,2561.15,,Organic / Pure Profit
2024-02-01,organic_search,2,44,5,0.1136,203.63,2764.78,0.0,62.84,2764.78,,Organic / Pure Profit
2024-02-01,organic_search,3,44,2,0.0455,146.68,2911.46,0.0,66.17,2911.46,,Organic / Pure Profit
2024-02-01,organic_search,4,44,1,0.0227,52.02,2963.48,0.0,67.35,2963.48,,Organic / Pure Profit
2025-01-01,creator_network,0,78,78,1.0,2456.98,2456.98,33.6,31.5,-163.82000000000016,0.94,Unrecovered Capital
2025-01-01,creator_network,1,78,5,0.0641,128.90,2585.88,33.6,33.15,-34.92000000000007,0.99,Unrecovered Capital
2025-01-01,creator_network,2,78,4,0.0513,-22.60,2563.28,33.6,32.86,-57.51999999999998,0.98,Unrecovered Capital
2025-01-01,creator_network,3,78,2,0.0256,88.12,2651.40,33.6,33.99,30.59999999999991,1.01,Breakeven / Recovered
2025-01-01,creator_network,5,78,1,0.0128,11.68,2663.08,33.6,34.14,42.279999999999745,1.02,Breakeven / Recovered
2025-08-01,creator_network,0,74,74,1.0,2485.00,2485.00,33.11,33.58,34.86000000000013,1.01,Breakeven / Recovered
2025-08-01,creator_network,1,74,7,0.0946,139.52,2624.52,33.11,35.47,174.3800000000001,1.07,Breakeven / Recovered
2025-08-01,creator_network,2,74,7,0.0946,254.93,2879.45,33.11,38.91,429.30999999999995,1.18,Breakeven / Recovered
2025-08-01,creator_network,3,74,3,0.0405,117.34,2996.79,33.11,40.5,546.6500000000001,1.22,Breakeven / Recovered
2025-08-01,creator_network,4,74,2,0.027,109.71,3106.50,33.11,41.98,656.3600000000001,1.27,Breakeven / Recovered
2024-04-01,google_ads,0,101,101,1.0,5432.58,5432.58,46.87,53.79,698.71,1.15,Breakeven / Recovered
2024-04-01,google_ads,1,101,11,0.1089,521.98,5954.56,46.87,58.96,1220.6900000000005,1.26,Breakeven / Recovered
2024-04-01,google_ads,2,101,7,0.0693,364.32,6318.88,46.87,62.56,1585.0100000000002,1.33,Breakeven / Recovered
2024-04-01,google_ads,3,101,3,0.0297,267.73,6586.61,46.87,65.21,1852.7399999999998,1.39,Breakeven / Recovered
2024-04-01,google_ads,7,101,1,0.0099,44.94,6631.55,46.87,65.66,1897.6800000000003,1.4,Breakeven / Recovered
2024-04-01,meta_ads,0,155,155,1.0,7190.87,7190.87,36.32,46.39,1561.2699999999995,1.28,Breakeven / Recovered
2024-04-01,meta_ads,1,155,19,0.1226,876.44,8067.31,36.32,52.05,2437.71,1.43,Breakeven / Recovered
2024-04-01,meta_ads,2,155,5,0.0323,233.58,8300.89,36.32,53.55,2671.289999999999,1.47,Breakeven / Recovered
2024-04-01,meta_ads,3,155,7,0.0452,323.07,8623.96,36.32,55.64,2994.3599999999988,1.53,Breakeven / Recovered
2024-04-01,meta_ads,4,155,3,0.0194,-24.35,8599.61,36.32,55.48,2970.01,1.53,Breakeven / Recovered
2024-04-01,meta_ads,5,155,1,0.0065,61.33,8660.94,36.32,55.88,3031.34,1.54,Breakeven / Recovered
2024-04-01,meta_ads,6,155,3,0.0194,148.29,8809.23,36.32,56.83,3179.629999999999,1.56,Breakeven / Recovered
2024-06-01,creator_network,0,79,79,1.0,2793.60,2793.60,34.72,35.36,50.7199999999998,1.02,Breakeven / Recovered
2024-06-01,creator_network,1,79,8,0.1013,231.04,3024.64,34.72,38.29,281.75999999999976,1.1,Breakeven / Recovered
2024-06-01,creator_network,2,79,3,0.038,53.92,3078.56,34.72,38.97,335.67999999999984,1.12,Breakeven / Recovered
2024-06-01,creator_network,3,79,4,0.0506,51.74,3130.30,34.72,39.62,387.4200000000001,1.14,Breakeven / Recovered
2024-06-01,creator_network,5,79,1,0.0127,3.66,3133.96,34.72,39.67,391.0799999999999,1.14,Breakeven / Recovered
2024-11-01,google_ads,0,131,131,1.0,7976.41,7976.41,49.33,60.89,1514.1800000000003,1.23,Breakeven / Recovered
2024-11-01,google_ads,1,131,12,0.0916,894.62,8871.03,49.33,67.72,2408.800000000001,1.37,Breakeven / Recovered
2024-11-01,google_ads,2,131,11,0.084,599.01,9470.04,49.33,72.29,3007.8100000000013,1.47,Breakeven / Recovered
2024-11-01,google_ads,3,131,3,0.0229,226.81,9696.85,49.33,74.02,3234.620000000001,1.5,Breakeven / Recovered
2024-11-01,google_ads,4,131,1,0.0076,142.10,9838.95,49.33,75.11,3376.720000000001,1.52,Breakeven / Recovered
2024-11-01,meta_ads,0,187,187,1.0,8167.03,8167.03,35.07,43.67,1608.9399999999996,1.25,Breakeven / Recovered
2024-11-01,meta_ads,1,187,18,0.0963,989.57,9156.60,35.07,48.97,2598.51,1.4,Breakeven / Recovered
2024-11-01,meta_ads,2,187,15,0.0802,808.17,9964.77,35.07,53.29,3406.6800000000003,1.52,Breakeven / Recovered
2024-11-01,meta_ads,3,187,8,0.0428,306.49,10271.26,35.07,54.93,3713.17,1.57,Breakeven / Recovered
2024-11-01,meta_ads,4,187,4,0.0214,173.53,10444.79,35.07,55.85,3886.7000000000007,1.59,Breakeven / Recovered
2025-03-01,direct,0,46,46,1.0,2717.95,2717.95,0.0,59.09,2717.95,,Organic / Pure Profit
2025-03-01,direct,1,46,2,0.0435,104.77,2822.72,0.0,61.36,2822.72,,Organic / Pure Profit
2025-03-01,direct,2,46,5,0.1087,211.89,3034.61,0.0,65.97,3034.61,,Organic / Pure Profit
2025-03-01,direct,3,46,1,0.0217,54.31,3088.92,0.0,67.15,3088.92,,Organic / Pure Profit
2025-04-01,creator_network,0,95,95,1.0,3316.34,3316.34,29.99,34.91,467.28999999999996,1.16,Breakeven / Recovered
2025-04-01,creator_network,1,95,6,0.0632,184.68,3501.02,29.99,36.85,651.9699999999998,1.23,Breakeven / Recovered
2025-04-01,creator_network,2,95,7,0.0737,141.60,3642.62,29.99,38.34,793.5699999999997,1.28,Breakeven / Recovered
2025-04-01,creator_network,3,95,3,0.0316,130.84,3773.46,29.99,39.72,924.4099999999999,1.32,Breakeven / Recovered
2025-06-01,direct,0,46,46,1.0,2249.51,2249.51,0.0,48.9,2249.51,,Organic / Pure Profit
2025-06-01,direct,1,46,7,0.1522,304.79,2554.30,0.0,55.53,2554.3,,Organic / Pure Profit
2025-06-01,direct,2,46,7,0.1522,400.97,2955.27,0.0,64.25,2955.27,,Organic / Pure Profit
2025-06-01,direct,3,46,1,0.0217,57.72,3012.99,0.0,65.5,3012.99,,Organic / Pure Profit
2025-06-01,direct,4,46,1,0.0217,38.25,3051.24,0.0,66.33,3051.24,,Organic / Pure Profit
2025-12-01,organic_search,0,63,63,1.0,3245.16,3245.16,0.0,51.51,3245.16,,Organic / Pure Profit
2024-03-01,creator_network,0,59,59,1.0,1940.57,1940.57,34.43,32.89,-90.79999999999995,0.96,Unrecovered Capital
2024-03-01,creator_network,1,59,1,0.0169,28.16,1968.73,34.43,33.37,-62.63999999999987,0.97,Unrecovered Capital
2024-03-01,creator_network,2,59,5,0.0847,280.42,2249.15,34.43,38.12,217.7800000000002,1.11,Breakeven / Recovered
